0,1,2,3,4,5,6,7,8,9,10
compagni,Activité,Adresse,C.P.,Ville,phone,Mobile,Email,Commentary,Rappel,RDV
gtgt,tgtg,tgtg,tggt,ttg,tgtg,ttg,ttg,,,
"Meyer Christine","Architectes (profession)","9 av Mar Foch",25000,BESANCON,0381886788,,,,,
"Architecture Milani Beaudoin","Architectes (profession)","24 r Bersot",25000,BESANCON,0381834758,,,,,
"Chartier Wattel Valérie","Architectes (profession)","44 Grande Rue",25000,BESANCON,0381530629,,,,,
"Guivier Jérôme","Architectes (profession)","4 r Eugène Savoye",25000,BESANCON,,0682440752,,,,
Lapprand,"Architectes (profession)","1 chem Pirey",25000,BESANCON,0381607400,,,,,
"Barrand Architecte","Architectes (profession)","16 r Pierre Donzelot",25000,BESANCON,,0670474068,,,,
"Varin Jean-Pierre","Architectes (profession)","45 A r Frères Chaffanjon",25000,BESANCON,0381612808,,,,,
"Guzman Gabriela","Architectes (profession)","23 r Mouillère",25000,BESANCON,,"No Prospect",,,,
"Architectures Scaranello","Architectes (profession)","17 r Lucien Febvre",25000,BESANCON,0381886710,,,,,
"Atelier Architecture Tardy","Architectes (profession)","38 Bis chem Ragots",25000,BESANCON,0381515925,,,,,
"Zioua Jhemel","Architectes (profession)","17 r Velotte",25000,BESANCON,0381805144,,,,,
"Varin . Jean-Pierre","Architectes (profession)","bât A 45 r Frères Chaffanjon",25000,BESANCON,,,,,,
"Chautemps Bernard","Architectes (profession)","11 r Alfred de Vigny",25000,BESANCON,,,,,,
"Architectures Amiot-Lombard","Architectes (profession)","20 r Bertrand",25000,BESANCON,0381505530,,,,,
"MC + Architecture","Architectes (profession)","1 fbg Rivotte",25000,BESANCON,,,,,,
"Lamboley Architectes Office","Architectes (profession)","3 r Roy",25000,BESANCON,0381612800,,,,,
"Charnassé Claude","Architectes (profession)","74 Grande Rue",25000,BESANCON,0381816121,,,,,
"Baty Architectes Et Associes","Architectes (profession)","5 r Trépillot",25000,BESANCON,0381534751,,,,,
